Timestamp,EAR_Value,Status
2026-06-14 16:23:55,0.3066,WASPADA
2026-06-14 16:23:55,0.3382,WASPADA
2026-06-14 16:23:55,0.3063,WASPADA
2026-06-14 16:23:55,0.3063,WASPADA
2026-06-14 16:23:55,0.3096,WASPADA
2026-06-14 16:23:55,0.3389,WASPADA
2026-06-14 16:23:55,0.3389,WASPADA
2026-06-14 16:23:55,0.3155,WASPADA
2026-06-14 16:23:55,0.3146,WASPADA
2026-06-14 16:23:55,0.3146,WASPADA
2026-06-14 16:23:55,0.3304,WASPADA
2026-06-14 16:23:55,0.3304,WASPADA
2026-06-14 16:23:55,0.3386,WASPADA
2026-06-14 16:23:55,0.3176,WASPADA
2026-06-14 16:23:55,0.3173,WASPADA
2026-06-14 16:23:55,0.3173,WASPADA
2026-06-14 16:23:55,0.3337,WASPADA
2026-06-14 16:23:55,0.3380,WASPADA
2026-06-14 16:23:56,0.3380,WASPADA
2026-06-14 16:23:56,0.3210,WASPADA
2026-06-14 16:23:56,0.3210,WASPADA
2026-06-14 16:23:56,0.3450,WASPADA
2026-06-14 16:23:56,0.3426,WASPADA
2026-06-14 16:23:56,0.3426,WASPADA
2026-06-14 16:23:56,0.3243,WASPADA
2026-06-14 16:23:56,0.3429,WASPADA
2026-06-14 16:23:56,0.3257,WASPADA
2026-06-14 16:23:56,0.3257,WASPADA
2026-06-14 16:23:56,0.3304,WASPADA
2026-06-14 16:23:56,0.3304,WASPADA
2026-06-14 16:23:56,0.3493,WASPADA
2026-06-14 16:23:56,0.3333,WASPADA
2026-06-14 16:23:56,0.3333,WASPADA
2026-06-14 16:23:56,0.3442,WASPADA
2026-06-14 16:23:56,0.3382,WASPADA
2026-06-14 16:23:56,0.3382,WASPADA
2026-06-14 16:23:56,0.3557,WASPADA
2026-06-14 16:23:56,0.3444,WASPADA
2026-06-14 16:23:56,0.3444,WASPADA
2026-06-14 16:23:56,0.3416,WASPADA
2026-06-14 16:23:56,0.3331,WASPADA
2026-06-14 16:23:56,0.3331,WASPADA
2026-06-14 16:23:56,0.3417,WASPADA
2026-06-14 16:23:56,0.3417,WASPADA
2026-06-14 16:23:56,0.3417,WASPADA
2026-06-14 16:23:56,0.3260,WASPADA
2026-06-14 16:23:56,0.3182,WASPADA
2026-06-14 16:23:56,0.3182,WASPADA
2026-06-14 16:23:56,0.3409,WASPADA
2026-06-14 16:23:57,0.3464,WASPADA
2026-06-14 16:23:57,0.3464,WASPADA
2026-06-14 16:23:57,0.3316,WASPADA
2026-06-14 16:23:57,0.3390,WASPADA
2026-06-14 16:23:57,0.3390,WASPADA
2026-06-14 16:23:57,0.3260,WASPADA
2026-06-14 16:23:57,0.3226,WASPADA
2026-06-14 16:23:57,0.3226,WASPADA
2026-06-14 16:23:57,0.3421,WASPADA
2026-06-14 16:23:57,0.3421,WASPADA
2026-06-14 16:23:57,0.3502,WASPADA
2026-06-14 16:23:57,0.3425,WASPADA
2026-06-14 16:23:57,0.3653,WASPADA
2026-06-14 16:23:57,0.3653,WASPADA
2026-06-14 16:23:57,0.2581,WASPADA
2026-06-14 16:23:57,0.2077,MENGANTUK
2026-06-14 16:23:57,0.2077,MENGANTUK
2026-06-14 16:23:57,0.2068,MENGANTUK
2026-06-14 16:23:57,0.2084,MENGANTUK
2026-06-14 16:23:57,0.2084,MENGANTUK
2026-06-14 16:23:57,0.1984,MENGANTUK
2026-06-14 16:23:57,0.1984,MENGANTUK
2026-06-14 16:23:57,0.2301,MENGANTUK
2026-06-14 16:23:57,0.1983,MENGANTUK
2026-06-14 16:23:57,0.1966,MENGANTUK
2026-06-14 16:23:57,0.1966,MENGANTUK
2026-06-14 16:23:57,0.2046,MENGANTUK
2026-06-14 16:23:57,0.1761,MENGANTUK
2026-06-14 16:23:57,0.1761,MENGANTUK
2026-06-14 16:23:58,0.1773,MENGANTUK
2026-06-14 16:23:58,0.1773,MENGANTUK
2026-06-14 16:23:58,0.2044,MENGANTUK
2026-06-14 16:23:58,0.1800,MENGANTUK
2026-06-14 16:23:58,0.1800,MENGANTUK
2026-06-14 16:23:58,0.1846,MENGANTUK
2026-06-14 16:23:58,0.2252,MENGANTUK
2026-06-14 16:23:58,0.1840,MENGANTUK
2026-06-14 16:23:58,0.1840,MENGANTUK
2026-06-14 16:23:58,0.1740,MENGANTUK
2026-06-14 16:23:58,0.1740,MENGANTUK
2026-06-14 16:23:58,0.1505,MENGANTUK
2026-06-14 16:23:58,0.1658,MENGANTUK
2026-06-14 16:23:58,0.1658,MENGANTUK
2026-06-14 16:23:58,0.1671,MENGANTUK
2026-06-14 16:23:58,0.1566,MENGANTUK
2026-06-14 16:23:58,0.1566,MENGANTUK
2026-06-14 16:23:58,0.1686,MENGANTUK
2026-06-14 16:23:58,0.1597,MENGANTUK
2026-06-14 16:23:58,0.1597,MENGANTUK
2026-06-14 16:23:58,0.1547,MENGANTUK
2026-06-14 16:23:58,0.1896,MENGANTUK
2026-06-14 16:23:58,0.1896,MENGANTUK
2026-06-14 16:23:58,0.1991,MENGANTUK
2026-06-14 16:23:58,0.2288,MENGANTUK
2026-06-14 16:23:58,0.2288,MENGANTUK
2026-06-14 16:23:58,0.2672,WASPADA
2026-06-14 16:23:58,0.3303,WASPADA
2026-06-14 16:23:58,0.3303,WASPADA
2026-06-14 16:23:58,0.2918,WASPADA
2026-06-14 16:23:58,0.2918,WASPADA
2026-06-14 16:23:59,0.3128,WASPADA
2026-06-14 16:23:59,0.3198,WASPADA
2026-06-14 16:23:59,0.3269,WASPADA
2026-06-14 16:23:59,0.3269,WASPADA
2026-06-14 16:23:59,0.3264,WASPADA
2026-06-14 16:23:59,0.3208,WASPADA
2026-06-14 16:23:59,0.3208,WASPADA
2026-06-14 16:23:59,0.3279,WASPADA
2026-06-14 16:23:59,0.3279,WASPADA
2026-06-14 16:23:59,0.3184,WASPADA
2026-06-14 16:23:59,0.3118,WASPADA
2026-06-14 16:23:59,0.3118,WASPADA
2026-06-14 16:23:59,0.3264,WASPADA
2026-06-14 16:23:59,0.3269,WASPADA
2026-06-14 16:23:59,0.3318,WASPADA
2026-06-14 16:23:59,0.3318,WASPADA
2026-06-14 16:23:59,0.3490,WASPADA
2026-06-14 16:23:59,0.3490,WASPADA
2026-06-14 16:23:59,0.3589,WASPADA
2026-06-14 16:23:59,0.3521,WASPADA
2026-06-14 16:23:59,0.3521,WASPADA
2026-06-14 16:23:59,0.3280,WASPADA
2026-06-14 16:23:59,0.3289,WASPADA
2026-06-14 16:23:59,0.3289,WASPADA
2026-06-14 16:23:59,0.3413,WASPADA
2026-06-14 16:23:59,0.3417,WASPADA
2026-06-14 16:23:59,0.3417,WASPADA
2026-06-14 16:23:59,0.3573,WASPADA
2026-06-14 16:23:59,0.3426,WASPADA
2026-06-14 16:23:59,0.3426,WASPADA
2026-06-14 16:24:00,0.3324,WASPADA
2026-06-14 16:24:00,0.3360,WASPADA
2026-06-14 16:24:00,0.3360,WASPADA
2026-06-14 16:24:00,0.3316,WASPADA
2026-06-14 16:24:00,0.2894,WASPADA
2026-06-14 16:24:00,0.2894,WASPADA
2026-06-14 16:24:00,0.3062,WASPADA
2026-06-14 16:24:00,0.3253,WASPADA
2026-06-14 16:24:00,0.3253,WASPADA
2026-06-14 16:24:00,0.3272,WASPADA
2026-06-14 16:24:00,0.3518,WASPADA
2026-06-14 16:24:00,0.3518,WASPADA
2026-06-14 16:24:00,0.3269,WASPADA
2026-06-14 16:24:00,0.3277,WASPADA
2026-06-14 16:24:00,0.3277,WASPADA
2026-06-14 16:24:00,0.3122,WASPADA
2026-06-14 16:24:00,0.3122,WASPADA
2026-06-14 16:24:00,0.3544,WASPADA
2026-06-14 16:24:00,0.3241,WASPADA
2026-06-14 16:24:00,0.3179,WASPADA
2026-06-14 16:24:00,0.3179,WASPADA
2026-06-14 16:24:00,0.3171,WASPADA
2026-06-14 16:24:00,0.3202,WASPADA
2026-06-14 16:24:00,0.3202,WASPADA
2026-06-14 16:24:00,0.3186,WASPADA
2026-06-14 16:24:00,0.3186,WASPADA
2026-06-14 16:24:00,0.3409,WASPADA
2026-06-14 16:24:00,0.3435,WASPADA
2026-06-14 16:24:00,0.3435,WASPADA
2026-06-14 16:24:00,0.3174,WASPADA
2026-06-14 16:24:01,0.3474,WASPADA
2026-06-14 16:24:01,0.3482,WASPADA
2026-06-14 16:24:01,0.3482,WASPADA
2026-06-14 16:24:01,0.3224,WASPADA
2026-06-14 16:24:01,0.3224,WASPADA
2026-06-14 16:24:01,0.3294,WASPADA
2026-06-14 16:24:01,0.3305,WASPADA
2026-06-14 16:24:01,0.3305,WASPADA
2026-06-14 16:24:01,0.3386,WASPADA
2026-06-14 16:24:01,0.3110,WASPADA
2026-06-14 16:24:01,0.3110,WASPADA
2026-06-14 16:24:01,0.3205,WASPADA
2026-06-14 16:24:01,0.3364,WASPADA
2026-06-14 16:24:01,0.3334,WASPADA
2026-06-14 16:24:01,0.3334,WASPADA
2026-06-14 16:24:01,0.3272,WASPADA
2026-06-14 16:24:01,0.3272,WASPADA
2026-06-14 16:24:01,0.3252,WASPADA
2026-06-14 16:24:01,0.3350,WASPADA
2026-06-14 16:24:01,0.3350,WASPADA
2026-06-14 16:24:01,0.3334,WASPADA
2026-06-14 16:24:01,0.3214,WASPADA
2026-06-14 16:24:01,0.3214,WASPADA
2026-06-14 16:24:01,0.3454,WASPADA
2026-06-14 16:24:01,0.3423,WASPADA
2026-06-14 16:24:01,0.3423,WASPADA
2026-06-14 16:24:01,0.3095,WASPADA
2026-06-14 16:24:01,0.3235,WASPADA
2026-06-14 16:24:01,0.3235,WASPADA
2026-06-14 16:24:01,0.2932,WASPADA
2026-06-14 16:24:02,0.3142,WASPADA
2026-06-14 16:24:02,0.3142,WASPADA
2026-06-14 16:24:02,0.2890,WASPADA
2026-06-14 16:24:02,0.2890,WASPADA
2026-06-14 16:24:02,0.2421,MENGANTUK
2026-06-14 16:24:02,0.2485,MENGANTUK
2026-06-14 16:24:02,0.2647,WASPADA
2026-06-14 16:24:02,0.2647,WASPADA
2026-06-14 16:24:02,0.2540,WASPADA
2026-06-14 16:24:02,0.2863,WASPADA
2026-06-14 16:24:02,0.2863,WASPADA
2026-06-14 16:24:02,0.2590,WASPADA
2026-06-14 16:24:02,0.2774,WASPADA
2026-06-14 16:24:02,0.2774,WASPADA
2026-06-14 16:24:02,0.2645,WASPADA
2026-06-14 16:24:02,0.2645,WASPADA
2026-06-14 16:24:02,0.2203,MENGANTUK
2026-06-14 16:24:02,0.2385,MENGANTUK
2026-06-14 16:24:02,0.2209,MENGANTUK
2026-06-14 16:24:02,0.2209,MENGANTUK
2026-06-14 16:24:02,0.2395,MENGANTUK
2026-06-14 16:24:02,0.2583,WASPADA
2026-06-14 16:24:02,0.2583,WASPADA
2026-06-14 16:24:02,0.2685,WASPADA
2026-06-14 16:24:02,0.2685,WASPADA
2026-06-14 16:24:02,0.2636,WASPADA
2026-06-14 16:24:02,0.2597,WASPADA
2026-06-14 16:24:02,0.2597,WASPADA
2026-06-14 16:24:02,0.2678,WASPADA
2026-06-14 16:24:02,0.2685,WASPADA
2026-06-14 16:24:03,0.2725,WASPADA
2026-06-14 16:24:03,0.2725,WASPADA
2026-06-14 16:24:03,0.2858,WASPADA
2026-06-14 16:24:03,0.2858,WASPADA
2026-06-14 16:24:03,0.2792,WASPADA
2026-06-14 16:24:03,0.2824,WASPADA
2026-06-14 16:24:03,0.2824,WASPADA
2026-06-14 16:24:03,0.2828,WASPADA
2026-06-14 16:24:03,0.2857,WASPADA
2026-06-14 16:24:03,0.2857,WASPADA
2026-06-14 16:24:03,0.3058,WASPADA
2026-06-14 16:24:03,0.3086,WASPADA
2026-06-14 16:24:03,0.3086,WASPADA
2026-06-14 16:24:03,0.3300,WASPADA
2026-06-14 16:24:03,0.3094,WASPADA
2026-06-14 16:24:03,0.3094,WASPADA
2026-06-14 16:24:03,0.3156,WASPADA
2026-06-14 16:24:03,0.3179,WASPADA
2026-06-14 16:24:03,0.3179,WASPADA
2026-06-14 16:24:03,0.2999,WASPADA
2026-06-14 16:24:03,0.2942,WASPADA
2026-06-14 16:24:03,0.2942,WASPADA
2026-06-14 16:24:03,0.3074,WASPADA
2026-06-14 16:24:03,0.3074,WASPADA
2026-06-14 16:24:03,0.3021,WASPADA
2026-06-14 16:24:03,0.3061,WASPADA
2026-06-14 16:24:03,0.3067,WASPADA
2026-06-14 16:24:03,0.3067,WASPADA
2026-06-14 16:24:03,0.3097,WASPADA
2026-06-14 16:24:04,0.3067,WASPADA
2026-06-14 16:24:04,0.3067,WASPADA
2026-06-14 16:24:04,0.3011,WASPADA
2026-06-14 16:24:04,0.3011,WASPADA
2026-06-14 16:24:04,0.3121,WASPADA
2026-06-14 16:24:04,0.2971,WASPADA
2026-06-14 16:24:04,0.2971,WASPADA
2026-06-14 16:24:04,0.3003,WASPADA
2026-06-14 16:24:04,0.2806,WASPADA
2026-06-14 16:24:04,0.2775,WASPADA
2026-06-14 16:24:04,0.2775,WASPADA
2026-06-14 16:24:04,0.2866,WASPADA
2026-06-14 16:24:04,0.2866,WASPADA
2026-06-14 16:24:04,0.2729,WASPADA
2026-06-14 16:24:04,0.2763,WASPADA
2026-06-14 16:24:04,0.2763,WASPADA
2026-06-14 16:24:04,0.2773,WASPADA
2026-06-14 16:24:04,0.2760,WASPADA
2026-06-14 16:24:04,0.2760,WASPADA
2026-06-14 16:24:04,0.2762,WASPADA
2026-06-14 16:24:04,0.2762,WASPADA
2026-06-14 16:24:04,0.2762,WASPADA
2026-06-14 16:24:04,0.2934,WASPADA
2026-06-14 16:24:04,0.2907,WASPADA
2026-06-14 16:24:04,0.2907,WASPADA
2026-06-14 16:24:04,0.3172,WASPADA
2026-06-14 16:24:04,0.2971,WASPADA
2026-06-14 16:24:04,0.2971,WASPADA
2026-06-14 16:24:04,0.2944,WASPADA
2026-06-14 16:24:04,0.2926,WASPADA
2026-06-14 16:24:05,0.2926,WASPADA
2026-06-14 16:24:05,0.3069,WASPADA
2026-06-14 16:24:05,0.3131,WASPADA
2026-06-14 16:24:05,0.3131,WASPADA
2026-06-14 16:24:05,0.3472,WASPADA
2026-06-14 16:24:05,0.3127,WASPADA
2026-06-14 16:24:05,0.3127,WASPADA
2026-06-14 16:24:05,0.3354,WASPADA
2026-06-14 16:24:05,0.3086,WASPADA
2026-06-14 16:24:05,0.3086,WASPADA
2026-06-14 16:24:05,0.3246,WASPADA
2026-06-14 16:24:05,0.3246,WASPADA
2026-06-14 16:24:05,0.3410,WASPADA
2026-06-14 16:24:05,0.3323,WASPADA
2026-06-14 16:24:05,0.3308,WASPADA
2026-06-14 16:24:05,0.3308,WASPADA
2026-06-14 16:24:05,0.3421,WASPADA
2026-06-14 16:24:05,0.3550,WASPADA
2026-06-14 16:24:05,0.3550,WASPADA
2026-06-14 16:24:05,0.3304,WASPADA
2026-06-14 16:24:05,0.3304,WASPADA
2026-06-14 16:24:05,0.3336,WASPADA
2026-06-14 16:24:05,0.3567,WASPADA
2026-06-14 16:24:05,0.3567,WASPADA
2026-06-14 16:24:05,0.3214,WASPADA
2026-06-14 16:24:05,0.3461,WASPADA
2026-06-14 16:24:05,0.3509,WASPADA
2026-06-14 16:24:05,0.3509,WASPADA
2026-06-14 16:24:05,0.3279,WASPADA
2026-06-14 16:24:05,0.3417,WASPADA
2026-06-14 16:24:05,0.3417,WASPADA
2026-06-14 16:24:06,0.3483,WASPADA
2026-06-14 16:24:06,0.3483,WASPADA
2026-06-14 16:24:06,0.3579,WASPADA
2026-06-14 16:24:06,0.3454,WASPADA
2026-06-14 16:24:06,0.3454,WASPADA
2026-06-14 16:24:06,0.3445,WASPADA
2026-06-14 16:24:06,0.3455,WASPADA
2026-06-14 16:24:06,0.3451,WASPADA
2026-06-14 16:24:06,0.3451,WASPADA
2026-06-14 16:24:06,0.3420,WASPADA
2026-06-14 16:24:06,0.3420,WASPADA
2026-06-14 16:24:06,0.3214,WASPADA
2026-06-14 16:24:06,0.3467,WASPADA
2026-06-14 16:24:06,0.3467,WASPADA
2026-06-14 16:24:06,0.3517,WASPADA
2026-06-14 16:24:06,0.3427,WASPADA
2026-06-14 16:24:06,0.3427,WASPADA
2026-06-14 16:24:06,0.3483,WASPADA
